SN,act_id,c17_2
1668,"Food crops: maize, rice, beans, etc.",Seasonally
1863,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
1863,"Food crops: maize, rice, beans, etc.",Seasonally
8714,"Food crops: maize, rice, beans, etc.",Seasonally
6496,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Seasonally
6496,"Food crops: maize, rice, beans, etc.",Seasonally
2129,"Food crops: maize, rice, beans, etc.",Seasonally
87,"Other livestock such as poultry, rabbits etc.",Only sometimes
87,"Food crops: maize, rice, beans, etc.",Seasonally
87,Oil seeds,Seasonally
2952,"Food crops: maize, rice, beans, etc.",Seasonally
2952,"Goats, sheep, pigs, etc.",Throughout the year
2952,Cattle,Throughout the year
2952,Oil seeds,Seasonally
2952,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
4751,"Goats, sheep, pigs, etc.",Throughout the year
4751,"Food crops: maize, rice, beans, etc.",Seasonally
4751,"Other livestock such as poultry, rabbits etc.",Only sometimes
4751,Oil seeds,Seasonally
4751,Cattle,Throughout the year
5359,"Food crops: maize, rice, beans, etc.",Throughout the year
6992,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
6992,"Food crops: maize, rice, beans, etc.",Seasonally
7410,"Goats, sheep, pigs, etc.",Throughout the year
7410,"Food crops: maize, rice, beans, etc.",Throughout the year
2734,Cattle,Throughout the year
2734,"Other livestock such as poultry, rabbits etc.",Seasonally
2734,"Food crops: maize, rice, beans, etc.",Seasonally
389,"Food crops: maize, rice, beans, etc.",Seasonally
1166,"Food crops: maize, rice, beans, etc.",Seasonally
1167,"Food crops: maize, rice, beans, etc.",Seasonally
2953,"Goats, sheep, pigs, etc.",Throughout the year
2953,Cattle,Throughout the year
2953,"Food crops: maize, rice, beans, etc.",Seasonally
89,"Food crops: maize, rice, beans, etc.",Seasonally
1864,"Food crops: maize, rice, beans, etc.",Seasonally
390,"Food crops: maize, rice, beans, etc.",Seasonally
390,"Goats, sheep, pigs, etc.",Throughout the year
390,"Other livestock such as poultry, rabbits etc.",Throughout the year
4270,"Other livestock such as poultry, rabbits etc.",Throughout the year
4270,"Food crops: maize, rice, beans, etc.",Seasonally
4270,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
9296,Cattle,Throughout the year
9296,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
9296,"Goats, sheep, pigs, etc.",Throughout the year
9296,"Food crops: maize, rice, beans, etc.",Seasonally
9296,"Other livestock such as poultry, rabbits etc.",Throughout the year
8998,"Food crops: maize, rice, beans, etc.",Seasonally
8998,Oil seeds,Seasonally
8998,Cattle,Throughout the year
8998,"Other livestock such as poultry, rabbits etc.",Throughout the year
8287,"Food crops: maize, rice, beans, etc.",Seasonally
8287,"Other livestock such as poultry, rabbits etc.",Throughout the year
5360,Oil seeds,Seasonally
5360,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
5360,"Other livestock such as poultry, rabbits etc.",Throughout the year
5360,"Food crops: maize, rice, beans, etc.",Seasonally
3978,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Throughout the year
3978,"Goats, sheep, pigs, etc.",Throughout the year
3978,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
3978,"Other livestock such as poultry, rabbits etc.",Throughout the year
804,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
804,"Food crops: maize, rice, beans, etc.",Throughout the year
804,"Other livestock such as poultry, rabbits etc.",Throughout the year
804,"Goats, sheep, pigs, etc.",Throughout the year
1168,"Food crops: maize, rice, beans, etc.",Seasonally
9297,"Food crops: maize, rice, beans, etc.",Seasonally
2954,"Goats, sheep, pigs, etc.",Throughout the year
2954,"Food crops: maize, rice, beans, etc.",Seasonally
5593,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
5593,"Food crops: maize, rice, beans, etc.",Seasonally
5593,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Throughout the year
6631,Oil seeds,Throughout the year
