SN,loan__id,g_10_1,g_10_2,g_10_3,g_10_6,g_10_8,g10_1n_1,g10_1n_2,g10_1n_3,g10_1n_4
6943,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
7901,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
656,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,True,True
1261,"A Government Scheme/Institution eg government programs such as LGA, women, youth, etc",True,True,True,True,True,True,True,False,False
7565,Bank,True,True,True,True,True,True,False,False,False
3320,Bank,True,True,True,True,False,True,True,False,False
8452,Bank,True,False,True,True,False,False,False,True,True
6191,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
9588,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,False,False,False
9409,Bank,True,True,True,True,False,True,True,True,False
4857,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,True,False
49,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",False,True,True,False,True, , , , 
7032,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
8152,Bank,True,True,True,True,False,True,True,False,False
7167,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,True,False
8812,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
7579,Bank,True,True,True,True,True,True,True,False,False
7581,Bank,True,True,True,True,True,True,False,True,True
938,Bank,False,True,True,True,False, , , , 
2593,Bank,True,True,True,True,False,True,True,False,False
9680,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
9682,Bank,True,True,True,True,False,True,True,True,False
6193,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,False
4079,Bank,True,True,True,True,False,True,True,False,False
8379,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,False,False,True,True,False,False
8819,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
6032,Bank,True,True,True,True,False,True,True,False,False
9685,Bank,True,True,True,True,False,True,True,False,False
4880,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,False,False,True,True,False,False
4368,SACCOS,True,True,True,True,True,True,True,False,False
8664,Bank,True,True,True,True,False,False,True,False,False
9184,Bank,True,True,True,True,False,True,True,False,False
224,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,True,False
7179,Bank,True,True,True,True,False,True,True,False,False
7179,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,False
229,Bank,False,True,True,True,True, , , , 
8830,Bank,True,True,False,True,True,False,False,True,False
231,Bank,True,True,True,True,False,True,True,True,False
7040,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
7182,Bank,True,True,True,True,True,True,True,False,False
9188,Bank,True,True,True,True,False,True,True,False,False
8573,Bank,True,True,True,True,True,True,False,True,False
8574,Bank,True,True,True,False,True,True,False,True,False
8574,SACCOS,True,True,True,True,True,True,True,True,True
7183,Bank,True,True,True,True,True,True,True,False,False
3339,Bank,True,True,True,True,False,True,True,False,False
6207,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,True,False
4101,SACCOS,True,True,True,True,True,True,True,False,False
